Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist
UEFA Champions League ,Gruppenphase,12/9/15,Away,FC Barcelona,Bayer 04 Leverkusen,1:1,RW,20',0:1,Right-footed shot,Ivan Rakitic
LaLiga ,15,12/12/15,Home,FC Barcelona,Deportivo de La Coruña,2:2,RW,39',1:0,Direct free kick,Not Applicable
Club World Cup ,Finale,12/20/15,Away,FC Barcelona,CA River Plate,0:3,RW,36',0:1,Left-footed shot,Neymar
LaLiga ,17,12/30/15,Home,FC Barcelona,Real Betis Balompié,4:0,RW,33',2:0,Right-footed shot,Neymar
Copa del Rey ,Achtelfinale,1/6/16,Home,FC Barcelona,RCD Espanyol Barcelona,4:1,RW,13',1:1,Left-footed shot,Andrés Iniesta
Copa del Rey ,Achtelfinale,1/6/16,Home,FC Barcelona,RCD Espanyol Barcelona,4:1,RW,44',2:1,Direct free kick,Not Applicable
LaLiga ,19,1/9/16,Home,FC Barcelona,Granada CF,4:0,RW,8',1:0,Left-footed shot,Arda Turan
LaLiga ,19,1/9/16,Home,FC Barcelona,Granada CF,4:0,RW,14',2:0,Left-footed shot,Luis Suárez
LaLiga ,19,1/9/16,Home,FC Barcelona,Granada CF,4:0,RW,58',3:0,Tap-in,Not Applicable
LaLiga ,20,1/17/16,Home,FC Barcelona,Athletic Bilbao,6:0,RW,7',1:0,Penalty,Not Applicable
LaLiga ,21,1/23/16,Away,FC Barcelona,Málaga CF,1:2,RW,51',1:2,Left-footed shot,Adriano
LaLiga ,22,1/30/16,Home,FC Barcelona,Atlético de Madrid,2:1,RW,30',1:1,Left-footed shot,Jordi Alba
Copa del Rey ,Halbfinale,2/3/16,Home,FC Barcelona,Valencia CF,7:0,RW,29',3:0,Left-footed shot,Neymar
Copa del Rey ,Halbfinale,2/3/16,Home,FC Barcelona,Valencia CF,7:0,RW,59',4:0,Left-footed shot,Luis Suárez
Copa del Rey ,Halbfinale,2/3/16,Home,FC Barcelona,Valencia CF,7:0,RW,74',5:0,Left-footed shot,Not Applicable
LaLiga ,24,2/14/16,Home,FC Barcelona,Celta de Vigo,6:1,RW,28',1:0,Direct free kick,Not Applicable
LaLiga ,16,2/17/16,Away,FC Barcelona,Sporting Gijón,1:3,RW,25',0:1,Left-footed shot,Luis Suárez
LaLiga ,16,2/17/16,Away,FC Barcelona,Sporting Gijón,1:3,RW,31',1:2,Left-footed shot,Luis Suárez
UEFA Champions League ,Achtelfinale,2/23/16,Away,FC Barcelona,Arsenal FC,0:2,RW,71',0:1,Left-footed shot,Neymar
UEFA Champions League ,Achtelfinale,2/23/16,Away,FC Barcelona,Arsenal FC,0:2,RW,83',0:2,Penalty,Not Applicable
LaLiga ,26,2/28/16,Home,FC Barcelona,Sevilla FC,2:1,RW,31',1:1,Direct free kick,Not Applicable
LaLiga ,27,3/3/16,Away,FC Barcelona,Rayo Vallecano,1:5,RW,23',0:2,Left-footed shot,Neymar
LaLiga ,27,3/3/16,Away,FC Barcelona,Rayo Vallecano,1:5,RW,53',0:3,Left-footed shot,Not Applicable
LaLiga ,27,3/3/16,Away,FC Barcelona,Rayo Vallecano,1:5,RW,72',1:4,Left-footed shot,Sergio Busquets
LaLiga ,28,3/6/16,Away,FC Barcelona,SD Eibar,0:4,RW,42',0:2,Left-footed shot,Munir El Haddadi
LaLiga ,28,3/6/16,Away,FC Barcelona,SD Eibar,0:4,RW,76',0:3,Penalty,Not Applicable
LaLiga ,29,3/12/16,Home,FC Barcelona,Getafe CF,6:0,CF,41',4:0,Left-footed shot,Arda Turan
UEFA Champions League ,Achtelfinale,3/16/16,Home,FC Barcelona,Arsenal FC,3:1,RW,86',3:1,Left-footed shot,Neymar
LaLiga ,33,4/17/16,Home,FC Barcelona,Valencia CF,1:2,RW,63',1:2,Left-footed shot,Jordi Alba
LaLiga ,34,4/20/16,Away,FC Barcelona,Deportivo de La Coruña,0:8,RW,73',0:6,Left-footed shot,Luis Suárez
LaLiga ,35,4/23/16,Home,FC Barcelona,Sporting Gijón,6:0,RW,13',1:0,Header,Not Applicable
LaLiga ,37,5/8/16,Home,FC Barcelona,RCD Espanyol Barcelona,5:0,RW,8',1:0,Direct free kick,Not Applicable
Supercopa ,Finale,8/17/16,Home,FC Barcelona,Sevilla FC,3:0,RW,55',3:0,Header,Lucas Digne
LaLiga ,1,8/20/16,Home,FC Barcelona,Real Betis Balompié,6:2,RW,37',2:1,Left-footed shot,Sergi Roberto
LaLiga ,1,8/20/16,Home,FC Barcelona,Real Betis Balompié,6:2,RW,58',5:1,Left-footed shot,Arda Turan
UEFA Champions League ,Gruppenphase,9/13/16,Home,FC Barcelona,Celtic FC,7:0,RW,3',1:0,Left-footed shot,Neymar
UEFA Champions League ,Gruppenphase,9/13/16,Home,FC Barcelona,Celtic FC,7:0,RW,27',2:0,Left-footed shot,Neymar
UEFA Champions League ,Gruppenphase,9/13/16,Home,FC Barcelona,Celtic FC,7:0,RW,60',5:0,Left-footed shot,Luis Suárez
LaLiga ,4,9/17/16,Away,FC Barcelona,CD Leganés,1:5,RW,15',0:1,Left-footed shot,Luis Suárez
LaLiga ,4,9/17/16,Away,FC Barcelona,CD Leganés,1:5,RW,55',0:4,Penalty,Not Applicable
LaLiga ,8,10/15/16,Home,FC Barcelona,Deportivo de La Coruña,4:0,RW,58',4:0,Left-footed shot,Neymar
UEFA Champions League ,Gruppenphase,10/19/16,Home,FC Barcelona,Manchester City,4:0,RW,17',1:0,Left-footed shot,Andrés Iniesta
UEFA Champions League ,Gruppenphase,10/19/16,Home,FC Barcelona,Manchester City,4:0,RW,61',2:0,Left-footed shot,Andrés Iniesta
UEFA Champions League ,Gruppenphase,10/19/16,Home,FC Barcelona,Manchester City,4:0,RW,69',3:0,Left-footed shot,Luis Suárez
LaLiga ,9,10/22/16,Away,FC Barcelona,Valencia CF,2:3,RW,22',0:1,Left-footed shot,Ivan Rakitic
LaLiga ,9,10/22/16,Away,FC Barcelona,Valencia CF,2:3,RW,90'+4,2:3,Penalty,Not Applicable
UEFA Champions League ,Gruppenphase,11/1/16,Away,FC Barcelona,Manchester City,3:1,RW,21',0:1,Left-footed shot,Neymar
LaLiga ,11,11/6/16,Away,FC Barcelona,Sevilla FC,1:2,RW,43',1:1,Left-footed shot,Neymar
UEFA Champions League ,Gruppenphase,11/23/16,Away,FC Barcelona,Celtic FC,0:2,RW,24',0:1,Left-footed shot,Neymar
UEFA Champions League ,Gruppenphase,11/23/16,Away,FC Barcelona,Celtic FC,0:2,RW,55',0:2,Penalty,Not Applicable
LaLiga ,13,11/27/16,Away,FC Barcelona,Real Sociedad,1:1,RW,59',1:1,Left-footed shot,Neymar
UEFA Champions League ,Gruppenphase,12/6/16,Home,FC Barcelona,Borussia Mönchengladbach,4:0,RW,16',1:0,Left-footed shot,Arda Turan
LaLiga ,15,12/10/16,Away,FC Barcelona,CA Osasuna,0:3,RW,72',0:2,Left-footed shot,Jordi Alba
LaLiga ,15,12/10/16,Away,FC Barcelona,CA Osasuna,0:3,RW,90'+2,0:3,Left-footed shot,Sergio Busquets
LaLiga ,16,12/18/16,Home,FC Barcelona,RCD Espanyol Barcelona,4:1,RW,90',4:1,Left-footed shot,Luis Suárez
Copa del Rey ,Achtelfinale,1/5/17,Away,FC Barcelona,Athletic Bilbao,2:1,RW,52',2:1,Direct free kick,Not Applicable
LaLiga ,17,1/8/17,Away,FC Barcelona,Villarreal CF,1:1,RW,90',1:1,Direct free kick,Not Applicable
Copa del Rey ,Achtelfinale,1/11/17,Home,FC Barcelona,Athletic Bilbao,3:1,RW,78',3:1,Direct free kick,Not Applicable
LaLiga ,18,1/14/17,Home,FC Barcelona,UD Las Palmas,5:0,RW,52',2:0,Right-footed shot,Not Applicable
LaLiga ,19,1/22/17,Away,FC Barcelona,SD Eibar,0:4,RW,50',0:2,Left-footed shot,Luis Suárez
Copa del Rey ,Viertelfinale,1/26/17,Home,FC Barcelona,Real Sociedad,5:2,RW,55',2:0,Penalty,Not Applicable
Copa del Rey ,Halbfinale,2/1/17,Away,FC Barcelona,Atlético de Madrid,1:2,RW,33',0:2,Left-footed shot,Ivan Rakitic
LaLiga ,21,2/4/17,Home,FC Barcelona,Athletic Bilbao,3:0,RW,40',2:0,Direct free kick,Not Applicable
LaLiga ,22,2/11/17,Away,FC Barcelona,Deportivo Alavés,0:6,RW,59',0:3,Left-footed shot,Neymar
LaLiga ,23,2/19/17,Home,FC Barcelona,CD Leganés,2:1,RW,4',1:0,Right-footed shot,Luis Suárez
LaLiga ,23,2/19/17,Home,FC Barcelona,CD Leganés,2:1,RW,90',2:1,Penalty,Not Applicable
LaLiga ,24,2/26/17,Away,FC Barcelona,Atlético de Madrid,1:2,RW,86',1:2,Left-footed shot,Not Applicable
LaLiga ,25,3/1/17,Home,FC Barcelona,Sporting Gijón,6:1,RW,9',1:0,Header,Javier Mascherano
LaLiga ,26,3/4/17,Home,FC Barcelona,Celta de Vigo,5:0,AM,24',1:0,Left-footed shot,Sergio Busquets
LaLiga ,26,3/4/17,Home,FC Barcelona,Celta de Vigo,5:0,AM,64',5:0,Left-footed shot,Not Applicable
UEFA Champions League ,Achtelfinale,3/8/17,Home,FC Barcelona,Paris Saint-Germain,6:1,AM,50',3:0,Penalty,Not Applicable
LaLiga ,28,3/19/17,Home,FC Barcelona,Valencia CF,4:2,AM,45',2:1,Penalty,Not Applicable
LaLiga ,28,3/19/17,Home,FC Barcelona,Valencia CF,4:2,AM,53',3:2,Right-footed shot,Javier Mascherano
LaLiga ,30,4/5/17,Home,FC Barcelona,Sevilla FC,3:0,RW,28',2:0,Right-footed shot,Luis Suárez
LaLiga ,30,4/5/17,Home,FC Barcelona,Sevilla FC,3:0,RW,33',3:0,Left-footed shot,Not Applicable
LaLiga ,32,4/15/17,Home,FC Barcelona,Real Sociedad,3:2,RW,17',1:0,Left-footed shot,Luis Suárez
LaLiga ,32,4/15/17,Home,FC Barcelona,Real Sociedad,3:2,RW,37',2:0,Tap-in,Not Applicable
LaLiga ,33,4/23/17,Away,FC Barcelona,Real Madrid,2:3,RW,33',1:1,Left-footed shot,Ivan Rakitic
LaLiga ,33,4/23/17,Away,FC Barcelona,Real Madrid,2:3,RW,90'+2,2:3,Left-footed shot,Jordi Alba
LaLiga ,34,4/26/17,Home,FC Barcelona,CA Osasuna,7:1,AM,12',1:0,Left-footed shot,Not Applicable
LaLiga ,34,4/26/17,Home,FC Barcelona,CA Osasuna,7:1,AM,61',4:1,Left-footed shot,Ivan Rakitic
LaLiga ,36,5/6/17,Home,FC Barcelona,Villarreal CF,4:1,RW,45',2:1,Left-footed shot,Sergio Busquets
LaLiga ,36,5/6/17,Home,FC Barcelona,Villarreal CF,4:1,RW,82',4:1,Penalty,Not Applicable
LaLiga ,38,5/21/17,Home,FC Barcelona,SD Eibar,4:2,RW,75',3:2,Penalty,Not Applicable
LaLiga ,38,5/21/17,Home,FC Barcelona,SD Eibar,4:2,RW,90'+2,4:2,Right-footed shot,Not Applicable
Copa del Rey ,Finale,5/27/17,Home,FC Barcelona,Deportivo Alavés,3:1,RW,30',1:0,Left-footed shot,Neymar
Supercopa ,Finale,8/13/17,Home,FC Barcelona,Real Madrid,1:3,RW,77',1:1,Penalty,Not Applicable
LaLiga ,2,8/26/17,Away,FC Barcelona,Deportivo Alavés,0:2,CF,55',0:1,Left-footed shot,Jordi Alba
LaLiga ,2,8/26/17,Away,FC Barcelona,Deportivo Alavés,0:2,CF,66',0:2,Left-footed shot,Paco Alcácer
LaLiga ,3,9/9/17,Home,FC Barcelona,RCD Espanyol Barcelona,5:0,CF,26',1:0,Left-footed shot,Ivan Rakitic
LaLiga ,3,9/9/17,Home,FC Barcelona,RCD Espanyol Barcelona,5:0,CF,35',2:0,Right-footed shot,Jordi Alba
LaLiga ,3,9/9/17,Home,FC Barcelona,RCD Espanyol Barcelona,5:0,CF,67',3:0,Left-footed shot,Jordi Alba
UEFA Champions League ,Gruppenphase,9/12/17,Home,FC Barcelona,Juventus FC,3:0,CF,45',1:0,Left-footed shot,Luis Suárez
UEFA Champions League ,Gruppenphase,9/12/17,Home,FC Barcelona,Juventus FC,3:0,CF,69',3:0,Left-footed shot,Not Applicable
LaLiga ,5,9/19/17,Home,FC Barcelona,SD Eibar,6:1,CF,21',1:0,Penalty,Not Applicable
LaLiga ,5,9/19/17,Home,FC Barcelona,SD Eibar,6:1,CF,59',4:1,Left-footed shot,Sergio Busquets
LaLiga ,5,9/19/17,Home,FC Barcelona,SD Eibar,6:1,CF,62',5:1,Left-footed shot,Paulinho
LaLiga ,5,9/19/17,Home,FC Barcelona,SD Eibar,6:1,CF,87',6:1,Left-footed shot,Aleix Vidal
LaLiga ,7,10/1/17,Home,FC Barcelona,UD Las Palmas,3:0,SS,70',2:0,Left-footed shot,Denis Suárez
LaLiga ,7,10/1/17,Home,FC Barcelona,UD Las Palmas,3:0,SS,77',3:0,Left-footed shot,Luis Suárez
UEFA Champions League ,Gruppenphase,10/18/17,Home,FC Barcelona,Olympiacos Piraeus,3:1,CF,61',2:0,Direct free kick,Not Applicable
LaLiga ,10,10/28/17,Away,FC Barcelona,Athletic Bilbao,0:2,SS,37',0:1,Left-footed shot,Jordi Alba
LaLiga ,14,12/2/17,Home,FC Barcelona,Celta de Vigo,2:2,SS,22',1:1,Left-footed shot,Paulinho
LaLiga ,15,12/10/17,Away,FC Barcelona,Villarreal CF,0:2,RW,83',0:2,Left-footed shot,Sergio Busquets
LaLiga ,17,12/23/17,Away,FC Barcelona,Real Madrid,0:3,SS,64',0:2,Penalty,Not Applicable
LaLiga ,18,1/7/18,Home,FC Barcelona,Levante UD,3:0,SS,12',1:0,Left-footed shot,Jordi Alba
Copa del Rey ,Achtelfinale,1/11/18,Home,FC Barcelona,Celta de Vigo,5:0,SS,13',1:0,Left-footed shot,Jordi Alba
Copa del Rey ,Achtelfinale,1/11/18,Home,FC Barcelona,Celta de Vigo,5:0,SS,15',2:0,Left-footed shot,Jordi Alba
LaLiga ,19,1/14/18,Away,FC Barcelona,Real Sociedad,2:4,SS,85',2:4,Direct free kick,Not Applicable
LaLiga ,20,1/21/18,Away,FC Barcelona,Real Betis Balompié,0:5,SS,64',0:2,Left-footed shot,Sergio Busquets
LaLiga ,20,1/21/18,Away,FC Barcelona,Real Betis Balompié,0:5,SS,80',0:4,Left-footed shot,Luis Suárez
Copa del Rey ,Viertelfinale,1/25/18,Home,FC Barcelona,RCD Espanyol Barcelona,2:0,SS,25',2:0,Deflected shot on goal,Not Applicable
LaLiga ,21,1/28/18,Home,FC Barcelona,Deportivo Alavés,2:1,SS,84',2:1,Direct free kick,Not Applicable
UEFA Champions League ,Achtelfinale,2/20/18,Away,FC Barcelona,Chelsea FC,1:1,SS,75',1:1,Left-footed shot,Andrés Iniesta
LaLiga ,25,2/24/18,Home,FC Barcelona,Girona FC,6:1,SS,30',2:1,Left-footed shot,Luis Suárez
LaLiga ,25,2/24/18,Home,FC Barcelona,Girona FC,6:1,SS,36',3:1,Direct free kick,Not Applicable
LaLiga ,26,3/1/18,Away,FC Barcelona,UD Las Palmas,1:1,SS,21',0:1,Direct free kick,Not Applicable
LaLiga ,27,3/4/18,Home,FC Barcelona,Atlético de Madrid,1:0,SS,26',1:0,Direct free kick,Not Applicable
UEFA Champions League ,Achtelfinale,3/14/18,Home,FC Barcelona,Chelsea FC,3:0,SS,3',1:0,Right-footed shot,Luis Suárez
UEFA Champions League ,Achtelfinale,3/14/18,Home,FC Barcelona,Chelsea FC,3:0,SS,63',3:0,Left-footed shot,Luis Suárez
LaLiga ,29,3/18/18,Home,FC Barcelona,Athletic Bilbao,2:0,SS,30',2:0,Left-footed shot,Ousmane Dembélé
LaLiga ,30,3/31/18,Away,FC Barcelona,Sevilla FC,2:2,RW,89',2:2,Left-footed shot,Philippe Coutinho
LaLiga ,31,4/7/18,Home,FC Barcelona,CD Leganés,3:1,SS,27',1:0,Direct free kick,Not Applicable
LaLiga ,31,4/7/18,Home,FC Barcelona,CD Leganés,3:1,SS,32',2:0,Left-footed shot,Philippe Coutinho
LaLiga ,31,4/7/18,Home,FC Barcelona,CD Leganés,3:1,SS,87',3:1,Left-footed shot,Ousmane Dembélé
Copa del Rey ,Finale,4/21/18,Away,FC Barcelona,Sevilla FC,0:5,SS,31',0:2,Left-footed shot,Jordi Alba
LaLiga ,35,4/29/18,Away,FC Barcelona,Deportivo de La Coruña,2:4,SS,38',0:2,Left-footed shot,Luis Suárez
LaLiga ,35,4/29/18,Away,FC Barcelona,Deportivo de La Coruña,2:4,SS,82',2:3,Right-footed shot,Luis Suárez
LaLiga ,35,4/29/18,Away,FC Barcelona,Deportivo de La Coruña,2:4,SS,85',2:4,Left-footed shot,Luis Suárez
LaLiga ,36,5/6/18,Home,FC Barcelona,Real Madrid,2:2,SS,52',2:1,Left-footed shot,Luis Suárez
LaLiga ,34,5/9/18,Home,FC Barcelona,Villarreal CF,5:1,CF,45',3:0,Left-footed shot,Andrés Iniesta
LaLiga ,1,8/18/18,Home,FC Barcelona,Deportivo Alavés,3:0,RW,64',1:0,Direct free kick,Not Applicable
LaLiga ,1,8/18/18,Home,FC Barcelona,Deportivo Alavés,3:0,RW,90'+2,3:0,Left-footed shot,Luis Suárez
LaLiga ,3,9/2/18,Home,FC Barcelona,SD Huesca,8:2,RW,16',1:1,Right-footed shot,Ivan Rakitic
LaLiga ,3,9/2/18,Home,FC Barcelona,SD Huesca,8:2,RW,61',6:2,Left-footed shot,Philippe Coutinho
UEFA Champions League ,Gruppenphase,9/18/18,Home,FC Barcelona,PSV Eindhoven,4:0,RW,31',1:0,Direct free kick,Not Applicable
UEFA Champions League ,Gruppenphase,9/18/18,Home,FC Barcelona,PSV Eindhoven,4:0,RW,77',3:0,Left-footed shot,Ivan Rakitic
UEFA Champions League ,Gruppenphase,9/18/18,Home,FC Barcelona,PSV Eindhoven,4:0,RW,87',4:0,Right-footed shot,Luis Suárez
LaLiga ,5,9/23/18,Home,FC Barcelona,Girona FC,2:2,RW,19',1:0,Left-footed shot,Arturo Vidal
UEFA Champions League ,Gruppenphase,10/3/18,Away,FC Barcelona,Tottenham Hotspur,2:4,RW,56',1:3,Left-footed shot,Jordi Alba
UEFA Champions League ,Gruppenphase,10/3/18,Away,FC Barcelona,Tottenham Hotspur,2:4,RW,90',2:4,Left-footed shot,Jordi Alba
LaLiga ,8,10/7/18,Away,FC Barcelona,Valencia CF,1:1,RW,23',1:1,Left-footed shot,Luis Suárez
LaLiga ,9,10/20/18,Home,FC Barcelona,Sevilla FC,4:2,RW,12',2:0,Left-footed shot,Luis Suárez
LaLiga ,12,11/11/18,Home,FC Barcelona,Real Betis Balompié,3:4,SS,68',1:2,Penalty,Not Applicable
LaLiga ,12,11/11/18,Home,FC Barcelona,Real Betis Balompié,3:4,SS,90'+4,3:4,Left-footed shot,Arturo Vidal
UEFA Champions League ,Gruppenphase,11/28/18,Away,FC Barcelona,PSV Eindhoven,1:2,CF,61',0:1,Left-footed shot,Ousmane Dembélé
LaLiga ,15,12/8/18,Away,FC Barcelona,RCD Espanyol Barcelona,0:4,RW,17',0:1,Direct free kick,Not Applicable
LaLiga ,15,12/8/18,Away,FC Barcelona,RCD Espanyol Barcelona,0:4,RW,65',0:4,Direct free kick,Not Applicable
LaLiga ,16,12/16/18,Away,FC Barcelona,Levante UD,0:5,SS,43',0:2,Right-footed shot,Sergio Busquets
LaLiga ,16,12/16/18,Away,FC Barcelona,Levante UD,0:5,SS,47',0:3,Left-footed shot,Not Applicable
LaLiga ,16,12/16/18,Away,FC Barcelona,Levante UD,0:5,SS,60',0:4,Left-footed shot,Arturo Vidal
LaLiga ,17,12/22/18,Home,FC Barcelona,Celta de Vigo,2:0,RW,45',2:0,Left-footed shot,Jordi Alba
LaLiga ,18,1/6/19,Away,FC Barcelona,Getafe CF,1:2,RW,20',0:1,Left-footed shot,Not Applicable
LaLiga ,19,1/13/19,Home,FC Barcelona,SD Eibar,3:0,RW,53',2:0,Left-footed shot,Luis Suárez
Copa del Rey ,Achtelfinale,1/17/19,Home,FC Barcelona,Levante UD,3:0,CF,54',3:0,Left-footed shot,Nélson Semedo
LaLiga ,20,1/20/19,Home,FC Barcelona,CD Leganés,3:1,SS,90'+2,3:1,Right-footed shot,Jordi Alba
LaLiga ,21,1/27/19,Away,FC Barcelona,Girona FC,0:2,RW,69',0:2,Left-footed shot,Jordi Alba
Copa del Rey ,Viertelfinale,1/30/19,Home,FC Barcelona,Sevilla FC,6:1,RW,90'+2,6:1,Left-footed shot,Jordi Alba
LaLiga ,22,2/2/19,Home,FC Barcelona,Valencia CF,2:2,RW,39',1:2,Penalty,Not Applicable
LaLiga ,22,2/2/19,Home,FC Barcelona,Valencia CF,2:2,RW,64',2:2,Left-footed shot,Arturo Vidal
LaLiga ,24,2/16/19,Home,FC Barcelona,Real Valladolid CF,1:0,RW,43',1:0,Penalty,Not Applicable
LaLiga ,25,2/23/19,Away,FC Barcelona,Sevilla FC,2:4,RW,26',1:1,Left-footed shot,Ivan Rakitic
LaLiga ,25,2/23/19,Away,FC Barcelona,Sevilla FC,2:4,RW,67',2:2,Right-footed shot,Ousmane Dembélé
LaLiga ,25,2/23/19,Away,FC Barcelona,Sevilla FC,2:4,RW,85',2:3,Left-footed shot,Not Applicable
LaLiga ,27,3/9/19,Home,FC Barcelona,Rayo Vallecano,3:1,RW,51',2:1,Penalty,Not Applicable
UEFA Champions League ,Achtelfinale,3/13/19,Home,FC Barcelona,Olympique Lyon,5:1,RW,18',1:0,Penalty,Not Applicable
UEFA Champions League ,Achtelfinale,3/13/19,Home,FC Barcelona,Olympique Lyon,5:1,RW,78',3:1,Right-footed shot,Sergio Busquets
LaLiga ,28,3/17/19,Away,FC Barcelona,Real Betis Balompié,1:4,SS,18',0:1,Direct free kick,Not Applicable
LaLiga ,28,3/17/19,Away,FC Barcelona,Real Betis Balompié,1:4,SS,45'+2,0:2,Left-footed shot,Luis Suárez
LaLiga ,28,3/17/19,Away,FC Barcelona,Real Betis Balompié,1:4,SS,85',1:4,Left-footed shot,Ivan Rakitic
LaLiga ,29,3/30/19,Home,FC Barcelona,RCD Espanyol Barcelona,2:0,RW,71',1:0,Direct free kick,Not Applicable
LaLiga ,29,3/30/19,Home,FC Barcelona,RCD Espanyol Barcelona,2:0,RW,89',2:0,Left-footed shot,Malcom
LaLiga ,30,4/2/19,Away,FC Barcelona,Villarreal CF,4:4,RW,90',4:3,Direct free kick,Not Applicable
LaLiga ,31,4/6/19,Home,FC Barcelona,Atlético de Madrid,2:0,SS,87',2:0,Left-footed shot,Not Applicable
UEFA Champions League ,Viertelfinale,4/16/19,Home,FC Barcelona,Manchester United,3:0,RW,16',1:0,Left-footed shot,Not Applicable
UEFA Champions League ,Viertelfinale,4/16/19,Home,FC Barcelona,Manchester United,3:0,RW,20',2:0,Right-footed shot,Not Applicable
LaLiga ,35,4/27/19,Home,FC Barcelona,Levante UD,1:0,RW,62',1:0,Left-footed shot,Arturo Vidal
UEFA Champions League ,Halbfinale,5/1/19,Home,FC Barcelona,Liverpool FC,3:0,RW,75',2:0,Left-footed shot,Luis Suárez
UEFA Champions League ,Halbfinale,5/1/19,Home,FC Barcelona,Liverpool FC,3:0,RW,82',3:0,Direct free kick,Not Applicable
LaLiga ,38,5/19/19,Away,FC Barcelona,SD Eibar,2:2,CF,31',1:1,Left-footed shot,Arturo Vidal
LaLiga ,38,5/19/19,Away,FC Barcelona,SD Eibar,2:2,CF,32',1:2,Left-footed shot,Ivan Rakitic
Copa del Rey ,Finale,5/25/19,Home,FC Barcelona,Valencia CF,1:2,CF,73',1:2,Left-footed shot,Clément Lenglet
LaLiga ,8,10/6/19,Home,FC Barcelona,Sevilla FC,4:0,RW,78',4:0,Direct free kick,Not Applicable
LaLiga ,9,10/19/19,Away,FC Barcelona,SD Eibar,0:3,RW,58',0:2,Left-footed shot,Antoine Griezmann
UEFA Champions League ,Gruppenphase,10/23/19,Away,FC Barcelona,SK Slavia Prague,1:2,RW,3',0:1,Left-footed shot,Arthur Melo
LaLiga ,11,10/29/19,Home,FC Barcelona,Real Valladolid CF,5:1,RW,34',3:1,Direct free kick,Not Applicable
LaLiga ,11,10/29/19,Home,FC Barcelona,Real Valladolid CF,5:1,RW,75',4:1,Left-footed shot,Ivan Rakitic
LaLiga ,12,11/2/19,Away,FC Barcelona,Levante UD,3:1,RW,38',0:1,Penalty,Not Applicable
LaLiga ,13,11/9/19,Home,FC Barcelona,Celta de Vigo,4:1,RW,23',1:0,Penalty,Not Applicable
LaLiga ,13,11/9/19,Home,FC Barcelona,Celta de Vigo,4:1,RW,45'+1,2:1,Direct free kick,Not Applicable
LaLiga ,13,11/9/19,Home,FC Barcelona,Celta de Vigo,4:1,RW,48',3:1,Direct free kick,Not Applicable
UEFA Champions League ,Gruppenphase,11/27/19,Home,FC Barcelona,Borussia Dortmund,3:1,RW,33',2:0,Left-footed shot,Luis Suárez
LaLiga ,15,12/1/19,Away,FC Barcelona,Atlético de Madrid,0:1,RW,86',0:1,Left-footed shot,Luis Suárez
LaLiga ,16,12/7/19,Home,FC Barcelona,RCD Mallorca,5:2,RW,17',2:0,Left-footed shot,Antoine Griezmann
LaLiga ,16,12/7/19,Home,FC Barcelona,RCD Mallorca,5:2,RW,41',3:1,Left-footed shot,Ivan Rakitic
LaLiga ,16,12/7/19,Home,FC Barcelona,RCD Mallorca,5:2,RW,83',5:2,Left-footed shot,Luis Suárez
LaLiga ,18,12/21/19,Home,FC Barcelona,Deportivo Alavés,4:1,RW,69',3:1,Left-footed shot,Luis Suárez
Supercopa ,Halbfinale,1/9/20,Home,FC Barcelona,Atlético de Madrid,2:3,RW,51',1:1,Right-footed shot,Luis Suárez
LaLiga ,20,1/19/20,Home,FC Barcelona,Granada CF,1:0,CF,76',1:0,Right-footed shot,Arturo Vidal
Copa del Rey ,Achtelfinale,1/30/20,Home,FC Barcelona,CD Leganés,5:0,RW,59',3:0,Left-footed shot,Frenkie de Jong
Copa del Rey ,Achtelfinale,1/30/20,Home,FC Barcelona,CD Leganés,5:0,RW,89',5:0,Left-footed shot,Ivan Rakitic
LaLiga ,25,2/22/20,Home,FC Barcelona,SD Eibar,5:0,SS,14',1:0,Left-footed shot,Ivan Rakitic
LaLiga ,25,2/22/20,Home,FC Barcelona,SD Eibar,5:0,SS,37',2:0,Left-footed shot,Arturo Vidal
LaLiga ,25,2/22/20,Home,FC Barcelona,SD Eibar,5:0,SS,40',3:0,Left-footed shot,Not Applicable
LaLiga ,25,2/22/20,Home,FC Barcelona,SD Eibar,5:0,SS,87',4:0,Left-footed shot,Not Applicable
LaLiga ,27,3/7/20,Home,FC Barcelona,Real Sociedad,1:0,CF,81',1:0,Penalty,Not Applicable
LaLiga ,28,6/13/20,Away,FC Barcelona,RCD Mallorca,0:4,RW,90'+3,0:4,Right-footed shot,Luis Suárez
LaLiga ,29,6/16/20,Home,FC Barcelona,CD Leganés,2:0,RW,69',2:0,Penalty,Not Applicable
LaLiga ,33,6/30/20,Home,FC Barcelona,Atlético de Madrid,2:2,SS,50',2:1,Penalty,Not Applicable
LaLiga ,37,7/16/20,Home,FC Barcelona,CA Osasuna,1:2,RW,62',1:1,Direct free kick,Not Applicable
LaLiga ,38,7/19/20,Away,FC Barcelona,Deportivo Alavés,0:5,RW,34',0:2,Left-footed shot,Riqui Puig
LaLiga ,38,7/19/20,Away,FC Barcelona,Deportivo Alavés,0:5,RW,75',0:5,Left-footed shot,Jordi Alba
UEFA Champions League ,Achtelfinale,8/8/20,Home,FC Barcelona,SSC Napoli,3:1,SS,23',2:0,Left-footed shot,Not Applicable
