Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist
LaLiga ,3,9/21/08,Away,FC Barcelona,Sporting Gijón,1:6,RW,85',1:5,Left-footed shot,Andrés Iniesta
LaLiga ,3,9/21/08,Away,FC Barcelona,Sporting Gijón,1:6,RW,89',1:6,Header,Xavi
LaLiga ,5,9/27/08,Away,FC Barcelona,RCD Espanyol Barcelona,1:2,RW,90',1:2,Penalty,Not Applicable
UEFA Champions League ,Gruppenphase,10/1/08,Away,FC Barcelona,Shakhtar Donetsk,1:2,RW,87',1:1,Right-footed shot,Bojan Krkic
UEFA Champions League ,Gruppenphase,10/1/08,Away,FC Barcelona,Shakhtar Donetsk,1:2,RW,90'+2,1:2,Left-footed shot,Xavi
LaLiga ,6,10/4/08,Home,FC Barcelona,Atlético de Madrid,6:1,RW,8',3:0,Direct free kick,Not Applicable
UEFA Champions League ,Gruppenphase,10/22/08,Away,FC Barcelona,FC Basel 1893,0:5,CF,4',0:1,Left-footed shot,Dani Alves
LaLiga ,9,11/1/08,Away,FC Barcelona,Málaga CF,1:4,RW,19',1:2,Left-footed shot,Not Applicable
UEFA Champions League ,Gruppenphase,11/4/08,Home,FC Barcelona,FC Basel 1893,1:1,RW,61',1:0,Left-footed shot,Thierry Henry
Copa del Rey ,4.Runde,11/12/08,Home,FC Barcelona,Benidorm CD,1:0,RW,86',1:0,Penalty rebound,Not Applicable
LaLiga ,11,11/16/08,Away,FC Barcelona,Recreativo Huelva,0:2,RW,51',0:1,Left-footed shot,Xavi
UEFA Champions League ,Gruppenphase,11/26/08,Away,FC Barcelona,Sporting CP,2:5,RW,49',0:3,Left-footed shot,Dani Alves
LaLiga ,13,11/29/08,Away,FC Barcelona,Sevilla FC,0:3,RW,78',0:2,Left-footed shot,Xavi
LaLiga ,13,11/29/08,Away,FC Barcelona,Sevilla FC,0:3,RW,90'+2,0:3,Left-footed shot,Aleksandr Hleb
LaLiga ,15,12/13/08,Home,FC Barcelona,Real Madrid,2:0,RW,89',2:0,Counter attack goal,Thierry Henry
Copa del Rey ,Achtelfinale,1/6/09,Away,FC Barcelona,Atlético de Madrid,1:3,RW,11',0:1,Left-footed shot,Dani Alves
Copa del Rey ,Achtelfinale,1/6/09,Away,FC Barcelona,Atlético de Madrid,1:3,RW,57',0:2,Penalty,Not Applicable
Copa del Rey ,Achtelfinale,1/6/09,Away,FC Barcelona,Atlético de Madrid,1:3,RW,79',1:3,Right-footed shot,Andrés Iniesta
LaLiga ,18,1/11/09,Away,FC Barcelona,CA Osasuna,2:3,RW,84',2:3,Left-footed shot,Dani Alves
LaLiga ,19,1/17/09,Home,FC Barcelona,Deportivo de La Coruña,5:0,RW,21',1:0,Left-footed shot,Not Applicable
LaLiga ,20,1/24/09,Home,FC Barcelona,CD Numancia,4:1,RW,49',1:0,Left-footed shot,Dani Alves
LaLiga ,20,1/24/09,Home,FC Barcelona,CD Numancia,4:1,RW,76',4:1,Right-footed shot,Not Applicable
LaLiga ,21,2/1/09,Away,FC Barcelona,Racing Santander,1:2,RW,65',1:1,Right-footed shot,Xavi
LaLiga ,21,2/1/09,Away,FC Barcelona,Racing Santander,1:2,RW,81',1:2,Right-footed shot,Not Applicable
LaLiga ,25,3/1/09,Away,FC Barcelona,Atlético de Madrid,4:3,RW,30',0:2,Left-footed shot,Not Applicable
